"treat","arrest","exchange","survey","male_15_29"
1,1,1,1,0
1,1,1,0,6
1,1,0,1,1
1,1,0,0,4
1,0,1,1,3
1,0,1,0,21
1,0,0,1,3
1,0,0,0,27
0,1,1,1,0
0,1,1,0,10
0,1,0,1,1
0,1,0,0,8
0,0,1,1,10
0,0,1,0,144
0,0,0,1,21
