"treat","arrest","exchange","survey","female_30_44"
1,1,1,1,0
1,1,1,0,0
1,1,0,1,0
1,1,0,0,0
1,0,1,1,1
1,0,1,0,3
1,0,0,1,1
1,0,0,0,10
0,1,1,1,1
0,1,1,0,0
0,1,0,1,0
0,1,0,0,4
0,0,1,1,6
0,0,1,0,61
0,0,0,1,11
